Word,Meaning,Audio
arise,"xuất hiện, nảy sinh ra, xảy ra",4000B3_arise.mp3
benefactor,"ân nhân,người làm việc thiện",4000B3_benefactor.mp3
blacksmith,thợ rèn,4000B3_blacksmith.mp3
charitable,"nhân đức, có lòng thảo,khoan dung, độ lượng",4000B3_charitable.mp3
chimney,ống khói,4000B3_chimney.mp3
compensate,"bù, đền bù, bồi thường",4000B3_compensate.mp3
encounter,"bắt gặp, chạm trán",4000B3_encounter.mp3
exceed,"vượt quá, trội hơn",4000B3_exceed.mp3
forge,"rèn, tôi luyện",4000B3_forge.mp3
humble,"khiêm tốn, nhún nhường",4000B3_humble.mp3
iron,sắt (kim loại),4000B3_iron.mp3
ladder,cái thang,4000B3_ladder.mp3
modest,"nhũn nhặn,thuỳ mị, nhu mì",4000B3_modest.mp3
occupy,"ở, chiếm giữ, chiếm đóng",4000B3_occupy.mp3
penny,đồng xu,4000B3_penny.mp3
preach,"thuyết giáo, thuyết pháp, khuyên răn",4000B3_preach.mp3
prosper,"thịnh vượng, phồn vinh, thành công",4000B3_prosper.mp3
province,tỉnh (đơn vị hành chính),4000B3_province.mp3
satisfaction,"sự vừa lòng,sự làm cho thoả mãn",4000B3_satisfaction.mp3
sustain,"giữ vững, chống chịu",4000B3_sustain.mp3
acquire,"giành được (quyền sở hữu), thu được, đạt được",4000B3_acquire.mp3
awkward,"lúng túng, ngượng ngịu",4000B3_awkward.mp3
caretaker,"bảo mẫu, điều dưỡng, người trông nom",4000B3_caretaker.mp3
deceive,"lừa dối, đánh lừa, lừa đảo, lừa gạt",4000B3_deceive.mp3
discourage,"làm chán nản, làm nản lòng",4000B3_discourage.mp3
fake,"giả, giả mạo",4000B3_fake.mp3
hatred,"sự căm ghét, lòng căm thù",4000B3_hatred.mp3
hut,túp lều,4000B3_hut.mp3
inferior,"thấp hơn, kém hơn",4000B3_inferior.mp3
lodge,"nhà nghỉ, túp lều (ở nơi săn bắn, câu cá)",4000B3_lodge.mp3
neglect,"sao lãng,bỏ bê, bỏ mặc",4000B3_neglect.mp3
newcomer,người mới đến,4000B3_newcomer.mp3
offense,"sự phạm tội; tội, lỗi",4000B3_offense.mp3
overlook,"không nhận thấy, không chú ý tới, coi nhẹ",4000B3_overlook.mp3
repay; repaid,"đền đáp, đền ơn,trả lại, hoàn lại",4000B3_repay.mp3
ridiculous,"buồn cười, tức cười, lố bịch",4000B3_ridiculous.mp3
satisfactory,"làm thoả mãn, làm vừa ý; đầy đủ, tốt đẹp",4000B3_satisfactory.mp3
shepherd,người chăn cừu,4000B3_shepherd.mp3
venture,"liều, mạo hiểm, dám, đánh bạo",4000B3_venture.mp3
wheat,cây lúa mì,4000B3_wheat.mp3
alley,"ngõ, hẻm, lối đi (giữa các dãy nhà)",4000B3_alley.mp3
ax,cái rìu,4000B3_ax_1397924728882.mp3
bunch,"búi, chùm, bó, cụm, buồng",4000B3_bunch.mp3
chore,"việc vặt, việc mọn",4000B3_chore.mp3
decent,"tử tế, tốt,đứng đắn, đoan trang, tề chỉnh",4000B3_decent.mp3
disgrace,sự hổ thẹn,4000B3_disgrace.mp3
elbow,khuỷu tay,4000B3_elbow.mp3
grateful,"dễ chịu, khoan khoái,biết ơn",4000B3_grateful.mp3
irritate,"làm phát cáu, chọc tức",4000B3_irritate.mp3
kid,"đùa, lừa phỉnh, chơi khăm",4000B3_kid.mp3
loose,"lỏng, không chặt, chùng, không căng",4000B3_loose.mp3
offend,"xúc phạm, làm bực mình, làm tổn thương",4000B3_offend.mp3
overnight,qua đêm,4000B3_overnight.mp3
persist,"bền bỉ, kiên trì,vẫn còn, cứ dai dẳng",4000B3_persist.mp3
pine,cây thông,4000B3_pine.mp3
scar,"sẹo, vết sẹo",4000B3_scar.mp3
sensation,cảm giác,4000B3_sensation.mp3
sled,xe trượt tuyết,4000B3_sled.mp3
tease,"chòng ghẹo, trêu tức, trêu chọc",4000B3_tease.mp3
valentine,người yêu,4000B3_valentine.mp3
bloom,"ra hoa, nở hoa",4000B3_bloom.mp3
compact,"gọn, nhỏ gọn, thu gọn",4000B3_compact.mp3
curl,"sự uốn quăn; sự quănuốn, uốn quăn, làm xoăn,xoắn, cuộn",4000B3_curl.mp3
decay,"suy tàn, suy sụp, sa sút (quốc gia, gia đình...)đổ nát, mục nát (nhà cửa...)",4000B3_decay.mp3
dessert,món tráng miệng,4000B3_dessert.mp3
dip,"nhúng, ngâm, nhận chìm, dìm xuống",4000B3_dip.mp3
distant,"xa, xa cách",4000B3_distant.mp3
eclipse,"nhật thực, nguyệt thực",4000B3_eclipse.mp3
fairy,nàng tiên,4000B3_fairy.mp3
grace,"vẻ duyên dáng, vẻ yêu kiều",4000B3_grace.mp3
leisure,"thì giờ rỗi rãi, lúc thư nhàn",4000B3_leisure.mp3
mankind,"loài người, nhân loại",4000B3_mankind.mp3
passion,"đam mê, sự say mê",4000B3_passion.mp3
pillow,"cái gối (đầu), ổ lót trục, gối đỡ",4000B3_pillow.mp3
pulse,(y học) mạch; (kỹ thuật) : xung,4000B3_pulse.mp3
refresh,"làm cho khoẻ khoắn, làm cho khoan khoái, làm cho tươi tỉnh lại",4000B3_refresh.mp3
sneeze,hắt hơi,4000B3_sneeze.mp3
spice,gia vị,4000B3_spice.mp3
whistle,huýt sáo,4000B3_whistle.mp3
wool,"lông cừu, len",4000B3_wool.mp3
acquaint,làm quen,4000B3_acquaint.mp3
cemetery,nghĩa trang,4000B3_cemetery.mp3
curse,nguyền rủa,4000B3_curse.mp3
disguise,cải trang,4000B3_disguise.mp3
fancy,"có trang hoàng, có trang trí",4000B3_fancy.mp3
flashlight,"đèn pin, đèn chớp",4000B3_flashlight.mp3
hood,mũ trùm đầu,4000B3_hood.mp3
inhabitant,"người cư trú, dân cư",4000B3_inhabitant.mp3
nourish,"nuôi nấng, nuôi dưỡng",4000B3_nourish.mp3
pirate,cướp biển,4000B3_pirate.mp3
publication,"xuất bản phẩm (sách, báo)",4000B3_publication.mp3
riddle,câu đố,4000B3_riddle.mp3
rot,"mục nát, thối rữa",4000B3_rot.mp3
scare,"dọa, làm sợ hãi",4000B3_scare3.mp3
shortly,"không lâu nữa, chẳng mấy chốc",4000B3_shortly.mp3
skeleton,bộ xương,4000B3_skeleton.mp3
spoil,"thối, ươn (quả, cá...)",4000B3_spoil.mp3
starve,"chết đói, thiếu ăn",4000B3_starve.mp3
thrill,"sự rộn ràng,sự run lên",4000B3_thrill.mp3
wicked,"xấu, hư, tệ, độc ác",4000B3_wicked.mp3
alert,"báo động, báo nguy",4000B3_alert.mp3
broadcast,"buổi phát thanh, buổi phát hình",4000B3_broadcast.mp3
bulletin,"tập san, thông cáo",4000B3_bulletin.mp3
bump,chỗ sưng u lên (vì bị va mạnh),4000B3_bump.mp3
chop,"chặt, đốn, bổ, chẻ",4000B3_chop.mp3
closet,phòng để đồ; phòng kho,4000B3_closet.mp3
console,an ủi,4000B3_console.mp3
district,"quận, huyện",4000B3_district.mp3
drawer,ngăn kéo,4000B3_drawer.mp3
endure,"chịu đựng, cam chịu",4000B3_endure.mp3
execute,"tử hình, thực hiện, thi hành",4000B3_execute.mp3
grasp,"nắm chắc, túm chặt, ôm chặt",4000B3_grasp.mp3
rear,phía sau,4000B3_rear.mp3
senator,thượng nghị sĩ,4000B3_senator.mp3
skull,"sọ, đầu lâu",4000B3_skull.mp3
stir,"khuấy, quấy",4000B3_stir.mp3
tap,"gõ nhẹ, vỗ nhẹ, đập nhẹ",4000B3_tap.mp3
tremendous,"to lớn, khủng khiếp, dữ dội",4000B3_tremendous.mp3
underneath,"dưới, bên dưới",4000B3_underneath.mp3
worm,"con sâu, con giun",4000B3_worm.mp3
abandon,"từ bỏ; bỏ rơi, ruồng bỏ",4000B3_abandon.mp3
ambitious,"có hoài bão, có tham vọng",4000B3_ambitious.mp3
bark,"sủa, quát tháo",4000B3_bark.mp3
bay,"(địa lý,địa chất) vịnh",4000B3_bay.mp3
brilliant,"tài giỏi,sáng chói, rực rỡ",4000B3_brilliant.mp3
chin,cằm,4000B3_chin.mp3
complaint,"lời than phiền, lời phàn nànthan phiền, phàn nàn",4000B3_complaint.mp3
deaf,điếc,4000B3_deaf.mp3
enthusiastic,"hăng hái, nhiệt tình; say mê",4000B3_enthusiastic.mp3
expedition,"cuộc viễn chinh,cuộc thám hiểm",4000B3_expedition.mp3
horizon,chân trời,4000B3_horizon.mp3
loyal,trung thành,4000B3_loyal_13929338844191.mp3
mayor,thị trưởng,4000B3_mayor.mp3
mutual,"lẫn nhau, qua lại",4000B3_mutual.mp3
overweight,quá cân (quá béo),4000B3_overweight.mp3
refuge,"nơi trú ẩn, nơi nương náu",4000B3_refuge.mp3
restore,"phục hồi, dựng lại",4000B3_restore.mp3
rub,"xoa bóp, chà xát",4000B3_rub.mp3
senses,những giác quan,4000B3_senses.mp3
veterinarian,bác sỹ thú y,4000B3_veterinarian.mp3
anniversary,ngày kỷ niệm; lễ kỷ niệm,4000B3_anniversary.mp3
arithmetic,số học,4000B3_arithmetic.mp3
ashamed,"xấu hổ, hổ thẹn, ngượng",4000B3_ashamed.mp3
burst,"nổ, nổ tung (bom, đạn...); vỡ (mụn nhọt)",4000B3_burst.mp3
carpenter,thợ mộc,4000B3_carpenter.mp3
coal,than đá,4000B3_coal.mp3
couch,"trường kỷ, đi văng",4000B3_couch.mp3
drip,nhỏ giọt,4000B3_drip.mp3
elegant,"thanh lịch, tao nhã",4000B3_elegant.mp3
fabric,vải,4000B3_fabric.mp3
highlands,cao nguyên,4000B3_highlands.mp3
ivory,ngà (voi...),4000B3_ivory.mp3
mill,"cối xay, máy xay",4000B3_mill.mp3
needle,"cái kim, kim (la bàn...),chỏm núi nhọn",4000B3_needle.mp3
polish,đánh bóng,4000B3_polish.mp3
sew,"khâu, may",4000B3_sew.mp3
shed,"lán, túp lều (để hàng hoá, dụng cụ)",4000B3_shed.mp3
thread,"sợi chỉ,dòng, mạch, luồng",4000B3_thread.mp3
trim,"xén, tỉa (tóc, cành lá...)",4000B3_trim.mp3
upwards,"đi lên, hướng lên",4000B3_upwards.mp3
ail,"làm đau đớn, làm đau khổ",4000B3_ail.mp3
ally,"bạn đồng minh;liên kết, liên minh",4000B3_ally.mp3
boast,"khoe khoang, khoác lác",4000B3_boast.mp3
bounce,nảy lên,4000B3_bounce.mp3
