Word,Meaning,Audio
afraid,Sợ hãi,4000B1_afraid.mp3
agree,Đồng ý,4000B1_agree.mp3
angry,Tức giận,4000B1_angry.mp3
arrive,"Đến, tới nơi",4000B1_arrive.mp3
attack,Tấn công,4000B1_attack.mp3
bottom,phần dưới cùng; đáy,4000B1_bottom.mp3
clever,Thông minh,4000B1_clever.mp3
cruel,Độc ác,4000B1_cruel.mp3
finally,Sau cùng,4000B1_finally.mp3
hide,"Trốn, ẩn nấp",4000B1_hide.mp3
hunt,Săn bắn,4000B1_hunt.mp3
lot,"Mớ, lô, nhiều",4000B1_lot.mp3
middle,"giữa, ở giữa",4000B1_middle.mp3
moment,"Khoảnh khắc, chốc lát",4000B1_moment.mp3
pleased,Hài lòng,4000B1_pleased.mp3
promise,"Hứa hẹn, lời hứa",4000B1_promise.mp3
reply,"đáp lại, trả lời",4000B1_reply.mp3
safe,An toàn,4000B1_safe.mp3
trick,"Mẹo, thủ thuật",4000B1_trick.mp3
well,"Tốt, được",4000B1_well.mp3
adventure,"phiêu lưu, mạo hiểm",4000B1_adventure.mp3
approach,"đến gần, tới gần",4000B1_approach.mp3
carefully,cẩn thận,4000B1_carefully.mp3
chemical,hoáchất,4000B1_chemical.mp3
create,"tạo nên, tạo ra",4000B1_create.mp3
evil,"xấu, ác",4000B1_evil.mp3
experiment,thí nghiệm,4000B1_experiment.mp3
kill,"giết, làm chết",4000B1_kill.mp3
laboratory,phòng thí nghiệm,4000B1_laboratory.mp3
laugh,tiếng cười (lớn),4000B1_laugh.mp3
loud,"to, ầm ĩ",4000B1_loud.mp3
nervous,căng thẳng,4000B1_nervous.mp3
noise,tiếng ồn,4000B1_noise.mp3
project,"dự án, công trình",4000B1_project.mp3
scare,"Dọa,làm sợ hãi",4000B1_scare.mp3
secret,bí mật,4000B1_secret.mp3
shout,"quát tháo,la hét",4000B1_shout.mp3
smell,"ngửi,đánh hơi",4000B1_smell.mp3
terrible,"tồi tệ, ghê gớm, khủng khiếp",4000B1_terrible.mp3
worse,"xấu hơn, tồi hơn",4000B1_worse.mp3
alien,Người ngoài hành tinh,4000B1_alien.mp3
among,"giữa, ở giữa",4000B1_among.mp3
chart,"biểu đồ,đồ thị",4000B1_chart.mp3
cloud,"mây, đám mây",4000B1_cloud.mp3
comprehend,"hiểu,bao gồm",4000B1_comprehend.mp3
describe,"miêu tả, mô tả",4000B1_describe.mp3
ever,"Trước đến giờ, có bao giờ",4000B1_ever.mp3
fail,thất bại,4000B1_fail.mp3
friendly,thân thiện,4000B1_friendly.mp3
grade,"mức độ, cấp độ",4000B1_grade.mp3
instead,"Thay cho, thay vì",4000B1_instead.mp3
library,thư viện,4000B1_library.mp3
planet,hành tinh,4000B1_planet.mp3
report,"bản báo cáo, biên bản",4000B1_report.mp3
several,"vài, riêng",4000B1_several.mp3
solve,giải quyết,4000B1_solve.mp3
suddenly,"thình lình, đột ngột",4000B1_suddenly.mp3
suppose,"cho rằng, nghĩ rằng",4000B1_suppose.mp3
universe,"vũ trụ, thiên hà",4000B1_universe.mp3
view,"thấy, nhìn",4000B1_view.mp3
appropriate,"thích hợp, thích đáng",4000B1_appropriate.mp3
avoid,"tránh, tránh xa",4000B1_avoid.mp3
behave,"đối xử, cư xử",4000B1_behave.mp3
calm,"bình tĩnh, êm đềm",4000B1_calm.mp3
concern,"lo lắng, liên quan",4000B1_concern.mp3
content,"nội dung (n), hài lòng (adj), mãn nguyện (adj)",4000B1_content.mp3
expect,"trông mong, ngóng chờ",4000B1_expect.mp3
frequently,thường xuyên,4000B1_frequently.mp3
habit,"thói quen, tập quán",4000B1_habit.mp3
instruct,"hướng dẫn, đào tạo",4000B1_instruct.mp3
issue,"vấn đề, phát hành",4000B1_issue.mp3
none,"không ai,không chút nào",4000B1_none.mp3
patient,"kiên nhẫn, nhẫn nại, bệnh nhân",4000B1_patient.mp3
positive,"tích cực, rõ ràng",4000B1_positive.mp3
punish,"phạt, trừng phạt",4000B1_punish.mp3
represent,"thay mặt, đại diện",4000B1_represent.mp3
shake,"rung, lắcto shake hands: bắt tay",4000B1_shake.mp3
spread,"phết, trải ra",4000B1_spread.mp3
stroll,đi dạo,4000B1_stroll.mp3
village,"làng, xã",4000B1_village.mp3
aware,"nhận thấy, nhận thức",4000B1_aware.mp3
badly,"xấu, tồi, trầm trọng, khủng khiếp",4000B1_badly.mp3
belong,thuộc về,4000B1_belong.mp3
continue,"tiếp tục,vẫn cứ",4000B1_continue.mp3
error,"sự sai sót, lỗi",4000B1_error.mp3
experience,kinh nghiệm,4000B1_experience.mp3
field,"cánh đồng, khu khai thác",4000B1_field.mp3
hurt,"bị thương, bị đau",4000B1_hurt.mp3
judgment,"sự xét xử, quyết định của tòa án,ý kiến",4000B1_judgment.mp3
likely,"rất có thể, dường như, có lẽ đúng, thích hợp",4000B1_likely.mp3
normal,"bình thường,thông thường",4000B1_normal.mp3
rare,"hiếm, ít có",4000B1_rare.mp3
relax,"thư giãn,nghỉ ngơi",4000B1_relax.mp3
request,"đề nghị, thỉnh cầu",4000B1_request.mp3
reside,"ở tại, trú ngụ",4000B1_reside.mp3
result,kết quả,4000B1_result.mp3
roll,"lăn,cuốn",4000B1_roll.mp3
since,"từ khi, từ lúc",4000B1_since.mp3
visible,(có thể) thấy được,4000B1_visible.mp3
