Word,Meaning,Audio
allot,"phân công, phân việc, phân phối",4000B5_allot.mp3
appall,"kinh hoàng, kinh sợ, kinh hãi",4000B5_appall.mp3
cache,"nơi giấu, nơi trữ (lương thực, đạn dược... nhất là các nhà thám hiểm để dùng sau này)",4000B5_cache.mp3
convenience,"sự tiện lợi, sự thuận lợi; sự thích hợp",4000B5_convenience.mp3
dearth,"sự thiếu, sự khan hiếm",4000B5_dearth.mp3
deliberate,"thận trọng, có tính toán",4000B5_deliberate.mp3
dire,"thảm khốc, tàn khốc",4000B5_dire.mp3
elapse,trôi qua,4000B5_elapse.mp3
empathy,"sự thấu cảm, sự thấu hiểu",4000B5_empathy.mp3
fanciful,"kỳ cục, viển vông",4000B5_fanciful.mp3
gripe,càu nhàu,4000B5_gripe.mp3
grueling,"gay go, mệt nhoài",4000B5_grueling.mp3
mundane,trần tục,4000B5_mundane.mp3
opt,"chọn, chọn lựa",4000B5_opt.mp3
outrage,"tổn thương, xúc phạm",4000B5_outrage.mp3
paltry,"không đáng kể, nhỏ mọn",4000B5_paltry.mp3
rectify,"sửa, chỉnh lưu",4000B5_rectify.mp3
resourceful,tháo vát,4000B5_resourceful.mp3
sustenance,thức ăn,4000B5_sustenance.mp3
tedious,"chán ngắt,buồn tẻ",4000B5_tedious.mp3
abbey,tu viện,4000B5_abbey.mp3
abundant,"phong phú, nhiều, thừa thãi",4000B5_abundant.mp3
adjoin,"tiếp giáp, kế bên",4000B5_adjoin.mp3
ample,"nhiều, phong phú, dư dật",4000B5_ample.mp3
arid,khô cằn (đất),4000B5_arid.mp3
cathedral,nhà thờ lớn,4000B5_cathedral.mp3
deprive,"lấy đi, tước đoạt",4000B5_deprive.mp3
drought,hạn hán,4000B5_drought.mp3
eligible,"đủ tư cách, thích hợp",4000B5_eligible.mp3
fast,"nhịn ăn, ăn chay",4000B5_fast.mp3
grumble,"càu nhàu, cằn nhằn, lầm bầm",4000B5_grumble.mp3
inland,"vùng nội địa, vùng ở sâu trong nước",4000B5_inland.mp3
moisture,"hơi ẩm, hơi nước đọng lại",4000B5_moisture.mp3
nonetheless,"dù sao, tuy nhiên",4000B5_nonetheless.mp3
oath,lời tuyên thệ,4000B5_oath.mp3
prairie,"đồng cỏ, thảo nguyên",4000B5_prairie.mp3
ragged,"tả tơi, rách rưới",4000B5_ragged.mp3
rugged,"gồ ghề, lởm chởm",4000B5_rugged.mp3
scarce,"khan hiếm, ít có, thiếu",4000B5_scarce.mp3
speculate,suy đoán,4000B5_speculate.mp3
analytic,(thuộc) phân tích,4000B5_analytic.mp3
assert,"xác nhận, khẳng định, quả quyết",4000B5_assert.mp3
bachelor,"người chưa vợ, cử nhân",4000B5_bachelor.mp3
calculus,(toán học) phép tính,4000B5_calculus.mp3
celestial,"(thuộc) bầu trời, không gian",4000B5_celestial.mp3
cognitive,(thuộc) nhận thức,4000B5_cognitive.mp3
collision,"sự đụng, sự va chạm",4000B5_collision.mp3
competent,"thạo, giỏi, có trình độ",4000B5_competent.mp3
diploma,"bằng cấp, văn bằng; chứng chỉ",4000B5_diploma.mp3
excel,trội hơn (người khác về mặt nào...),4000B5_excel.mp3
geology,"khoa địa chất, địa chất học",4000B5_geology.mp3
harness,khai thác (để làm gì đó),4000B5_harness.mp3
intellect,"trí tuệ, sự hiểu biết",4000B5_intellect.mp3
keen,"sắc sảo, cừ khôi, xuất sắc",4000B5_keen.mp3
mythology,thần thoại,4000B5_mythology.mp3
physiology,sinh lý học,4000B5_physiology.mp3
radioactive,(thuộc) phóng xạ,4000B5_radioactive.mp3
relativity,tính tương đối,4000B5_relativity.mp3
sociology,xã hội học,4000B5_sociology.mp3
theoretical,"(thuộc) lý thuyết, có tính chất lý thuyết",4000B5_theoretical.mp3
administrator,người quản lý(người quản trị),4000B5_administrator.mp3
affluent,"giàu có, dồi dào, phong phú",4000B5_affluent.mp3
audit,"kiểm toán, kiểm tra sổ sách",4000B5_audit.mp3
automate,tự động hóa,4000B5_automate.mp3
bribe,hối lộ,4000B5_bribe.mp3
corrupt,"(tính từ) bị đút lót, bị mua chuộc, ăn hối lộ",4000B5_corrupt.mp3
dispose,"từ bỏ, vứt bỏ",4000B5_dispose.mp3
headquarters,"trụ sở chính, tổng hành dinh,(quân sự) sở chỉ huy",4000B5_headquarters.mp3
incentive,sự khích lệ; sự thúc đẩy,4000B5_incentive.mp3
infrastructure,hạ tầng,4000B5_infrastructure.mp3
legislate,"làm luật, lập pháp",4000B5_legislate.mp3
legitimate,hợp pháp,4000B5_legitimate.mp3
manipulate,"lôi kéo, vận động (bằng mánh khoé)vận dụng bằng tay, thao tác thủ công",4000B5_manipulate.mp3
merchandise,hàng hóa,4000B5_merchandise.mp3
retail,bán lẻ,4000B5_retail.mp3
revenue,doanh thu,4000B5_revenue.mp3
rubbish,rác rưởi,4000B5_rubbish.mp3
subsidy,tiền trợ cấp,4000B5_subsidy.mp3
transaction,giao dịch,4000B5_transaction.mp3
violate,"vi phạm, xâm phạm",4000B5_violate.mp3
assess,"đánh giá,ước định, định giá",4000B5_assess.mp3
astonish,làm ngạc nhiên,4000B5_astonish.mp3
commence,"mở đầu, khỏi đầu",4000B5_commence.mp3
essence,"bản chất, thực chất",4000B5_essence.mp3
extract,"nhổ (răng...),trích (sách),rút ra",4000B5_extract.mp3
fabulous,"khó tin, hoang đường",4000B5_fabulous.mp3
haste,"sự vội vàng, sự vội vã",4000B5_haste.mp3
impulse,"sự thúc đẩy, sự thôi thúc",4000B5_impulse.mp3
latter,"(thuộc) sau cùng, mới đây",4000B5_latter.mp3
molecule,(hoá học) phân tử,4000B5_molecule.mp3
ongoing,đang xảy ra,4000B5_ongoing.mp3
pharmaceutical,(thuộc) dược khoa,4000B5_pharmaceutical.mp3
precise,"chính xác, tỉ mỹ, kỹ tính",4000B5_precise.mp3
proximity,"xung quanh, xấp xỉ",4000B5_proximity.mp3
publicity,"tính công khai, sự quảng cáo",4000B5_publicity.mp3
remedy,phương thuốc; cách điều trị,4000B5_remedy.mp3
significance,"tầm quan trọng, ý nghĩa, vai trò",4000B5_significance.mp3
subsequent,"(thuộc) đến sau, theo sau, xảy ra sau",4000B5_subsequent.mp3
synthetic,(thuộc) tổng hợp,4000B5_synthetic.mp3
terminal,(thuộc bệnh tật) nguy kịch,4000B5_terminal.mp3
altitude,độ cao,4000B5_altitude.mp3
coastline,bờ biển,4000B5_coastline.mp3
deter,"ngăn cản, cản trở, làm nhụt chí",4000B5_deter.mp3
devise,"nghĩ ra, bày mưu",4000B5_devise.mp3
expertise,"sự thành thạo, sự tinh thông",4000B5_expertise.mp3
fracture,"chỗ gãy (xương),khe nứt",4000B5_fracture.mp3
impair,"làm suy yếu, làm sút kém",4000B5_impair.mp3
implement,"thi hành, triển khai, bổ sung",4000B5_implement.mp3
indigenous,(thuộc) bản xứ,4000B5_indigenous.mp3
insight,sự hiểu thấu được bên trong sự vật; sự hiểu biết sâu sắc,4000B5_insight.mp3
limb,"cành cây to, chân, tay",4000B5_limb.mp3
migraine,(y học) chứng đau nửa đầu,4000B5_migraine.mp3
optimism,"sự lạc quan, tính lạc quan",4000B5_optimism.mp3
peculiar,"khác thường, lạ",4000B5_peculiar.mp3
proficient,"thành thạo, giỏi giang",4000B5_proficient.mp3
quest,"sự truy tìm, sự truy lùng",4000B5_quest.mp3
ridge,"đỉnh (núi); nóc (nhà); sống (mũi),lằn gợn (trên cát)",4000B5_ridge.mp3
spouse,"chồng,vợ",4000B5_spouse.mp3
thrust,"đẩy, ấn mạnh, tống, thọc",4000B5_thrust.mp3
tolerate,"chịu đựng (sự đau đớn, nóng, lạnh...), tha thứ",4000B5_tolerate.mp3
aquatic,"(thuộc)sống ở nước, mọc ở nước",4000B5_aquatic.mp3
biosphere,sinh quyển,4000B5_biosphere.mp3
bizarre,"kỳ quái, kỳ lạ, kỳ dị",4000B5_bizarre.mp3
celsius,độ C,4000B5_Celsius.mp3
coarse,"thô, thô ráp",4000B5_coarse.mp3
companion,bạn (đồng hành),4000B5_companion.mp3
digest,tiêu hóa,4000B5_digest.mp3
duration,khoảng thời gian (tồn tại của một sự việc),4000B5_duration.mp3
ecology,sinh thái học,4000B5_ecology.mp3
feat,"kỳ công, chiến công",4000B5_feat.mp3
infinite,"vô tận, vô hạn",4000B5_infinite.mp3
nucleus,"trung tâm, nhân",4000B5_nucleus.mp3
parasite,"(sinh vật học) vật ký sinh, kẻ ăn bám",4000B5_parasite.mp3
prominent,"nổi bật, đáng chú ý",4000B5_prominent.mp3
repetitive,lặp lại,4000B5_repetitive.mp3
reproductive,(thuộc) sinh sản,4000B5_reproductive.mp3
temperate,ôn hòa,4000B5_temperate.mp3
tolerance,"sức chịu đựng, lòng khoan dung",4000B5_tolerance.mp3
undergo,"trải qua, chịu, bị",4000B5_undergo.mp3
vulnerable,"bị tổn thương, có nhược điểm",4000B5_vulnerable.mp3
adept,"tinh thông, lão luyện, thạo, giỏi",4000B5_adept.mp3
barren,cằn cỗi (đất),4000B5_barren.mp3
ceramic,(thuộc) gốm sứ,4000B5_ceramic.mp3
culinary,"(thuộc) nấu nướng, (thuộc) việc bếp núc",4000B5_culinary.mp3
dense,"rậm rạp, dày đặc",4000B5_dense.mp3
dignity,"lòng tự trọng, phẩm giá, thái độ đường hoàng",4000B5_dignity.mp3
dominate,"chi phối, thống trị, có ảnh hưởng lớn",4000B5_dominate.mp3
edible,có thể ăn được (không độc),4000B5_edible.mp3
hostile,"(tính chất) thù địch, không thân thiện",4000B5_hostile.mp3
intake,sự lấy vào; vật lấy vào; lượng lấy vào,4000B5_intake.mp3
likewise,"cũng thế, giống như vậy",4000B5_likewise.mp3
malnutrition,"sự kém dinh dưỡng, sự thiếu ăn",4000B5_malnutrition.mp3
medication,"sự bốc thuốc, sự cho thuốc",4000B5_medication.mp3
misconception,"sự nhận thức sai, sự hiểu sai",4000B5_misconception.mp3
obscure,"không có tiếng tăm, ít người biết đến, mờ mịt",4000B5_obscure.mp3
oppress,"đàn áp, áp bức",4000B5_oppress.mp3
peel,"bóc vỏ, gọt vỏ; lột (da...)",4000B5_peel.mp3
prescription,(y học) sự cho đơn; đơn thuốc,4000B5_prescription.mp3
respirator,máy trợ thở,4000B5_respirator.mp3
strive,"cố gắng, phấn đấu",4000B5_strive.mp3
archaic,cổ xưa,4000B5_archaic.mp3
benevolent,"rộng lượng, nhân từ, thương người",4000B5_benevolent.mp3
brass,đồng thau,4000B5_brass.mp3
capitalism,chủ nghĩa tư bản,4000B5_capitalism.mp3
component,"thành phần, cấu thành",4000B5_component.mp3
dependence,"sự phục thuộc,sự nương tựa; chỗ dựa",4000B5_dependence.mp3
diminish,"giảm bớt, thu nhỏ",4000B5_diminish.mp3
drawback,"điều trở ngại, mặt hạn chế",4000B5_drawback.mp3
fad,mốt nhất thời,4000B5_fad.mp3
impose,"bắt phải chịu, lợi dụng",4000B5_impose.mp3
managerial,"(thuộc) quản trị, quản lý",4000B5_managerial.mp3
medieval,(thuộc) thời Trung cổ,4000B5_medieval.mp3
obsolete,"lỗi thời, lạc hậu",4000B5_obsolete.mp3
peninsula,bán đảo,4000B5_peninsula.mp3
prestige,uy tín,4000B5_prestige.mp3
proportion,tỷ lệ,4000B5_proportion.mp3
radical,(chính trị) cấp tiến,4000B5_radical.mp3
refute,"phản bác, bẻ lại",4000B5_refute.mp3
spectacular,"đẹp mắt, ngoạn mục",4000B5_spectacular.mp3
weave,"dệt, đan, kết lại",4000B5_weave.mp3
accountant,nhân viên kế toán,4000B5_accountant.mp3
capitalist,nhà tư bản,4000B5_capitalist.mp3
contempt,"sự coi thường, sự khinh rẻ",4000B5_contempt.mp3
dedicate,"cống hiến, hiến dâng",4000B5_dedicate.mp3
ditch,"hào, rãnh, mương",4000B5_ditch.mp3
enterprise,"(từ Mỹ,nghĩa Mỹ) tổ chức kinh doanh, hãng",4000B5_enterprise.mp3
exquisite,thanh tú,4000B5_exquisite.mp3
finance,"cấp vốn, tài trợ tiền",4000B5_finance.mp3
indifferent,"lânh đạm, thờ ơ, hờ hững",4000B5_indifferent.mp3
