Word,Meaning,Audio
aroma,"mùi thơm, hương vị",4000B4_aroma.mp3
beverage,đồ uống (không bao gồm nước tinh khiết),4000B4_beverage.mp3
cluster,"chùm,đám, bó, cụm; đàn, bầy",4000B4_cluster.mp3
combine,"kết hợp, phối hợp",4000B4_combine.mp3
condensed,cô đặc,4000B4_condensed.mp3
contemporary,đương thời,4000B4_contemporary.mp3
cultivate,"nuôi cấy, trồng trọt",4000B4_cultivate.mp3
divine,"thần thánh, thiêng liêng",4000B4_divine.mp3
humid,"ẩm, ẩm ướt",4000B4_humid.mp3
odor,mùi,4000B4_odor.mp3
palate,(giải phẫu) vòm miệng,4000B4_palate.mp3
paradise,thiên đường,4000B4_paradise.mp3
plantation,"đồn điền (bông, cà phê...)",4000B4_plantation.mp3
rapid,"nhanh, nhanh chóng, mau lẹ",4000B4_rapid.mp3
rate,"tốc độ,giá, chi phí, mức (lương...), tỷ lệ, hạng, loại",4000B4_rate.mp3
soothing,"dịu dàng, êm dịu, dễ chịu",4000B4_soothing.mp3
subtle,"khó thấy,phảng phất,huyền ảo,tinh vi, tinh tế, tế nhị",4000B4_subtle.mp3
texture,"hình dạng bề mặt, kết cấu bề mặt",4000B4_texture.mp3
toxic,độc,4000B4_toxic.mp3
vary,"thay đổi, biến đổi",4000B4_vary.mp3
accident,"tai nạn,sự rủi ro",4000B4_accident.mp3
admiral,đô đốc,4000B4_admiral.mp3
arc,"hình cung, hình cánh cung",4000B4_arc.mp3
character,"tính nết, tính cách; cá tính",4000B4_character.mp3
conscience,lương tâm,4000B4_conscience.mp3
fiery,"ngụt cháy, bốc cháy",4000B4_fiery.mp3
flesh,"thịt,xác thịt",4000B4_flesh.mp3
grapefruit,bưởi đào,4000B4_grapefruit.mp3
hay,cỏ khô,4000B4_hay.mp3
horrified,"kinh khủng, khủng khiếp",4000B4_horrified.mp3
kerosene,"dầu hỏa, dầu lửa",4000B4_kerosene.mp3
loop,vòng; thòng lọng,4000B4_loop.mp3
paddle,mái chèo,4000B4_paddle.mp3
raft,"bè (gỗ, nứa...); mảng",4000B4_raft.mp3
sour,(vị) chua,4000B4_sour.mp3
stake,"cọc, cột",4000B4_stake.mp3
steward,"tiếp viên, chiêu đãi viên (trên máy bay, trên tàu thuỷ)",4000B4_steward.mp3
string,"chuỗi, dây, băng, dải",4000B4_string.mp3
thorn,"gai, bụi gai",4000B4_thorn.mp3
wreck,"làm hỏng, phá hoại",4000B4_wreck.mp3
admonish,"khiển trách, quở mắng, la rầy",4000B4_admonish.mp3
audible,nghe rõ,4000B4_audible.mp3
awesome,đáng kinh ngạc; làm khiếp sợ,4000B4_awesome.mp3
beware,"cẩn thận, chú ý; đề phòng",4000B4_beware.mp3
brag,khoe khoang,4000B4_brag.mp3
conscious,"biết rõ, thấy rõ,có ý thức",4000B4_conscious.mp3
disagree,"bất đồng, không đồng ý",4000B4_disagree.mp3
echo,"dội lại, vang lại,tiếng dội, tiếng vang",4000B4_echo.mp3
eventual,(thuộc về) cuối cùng,4000B4_eventual.mp3
hint,"lời gợi ý; lời nói bóng gió, lời nói ám chỉ",4000B4_hint.mp3
idiot,thằng ngốc,4000B4_idiot.mp3
immense,"mênh mông, bao la, rộng lớn",4000B4_immense.mp3
indirect,"gián tiếp, quanh co, không thẳng thắn",4000B4_indirect.mp3
option,sự lựa chọn,4000B4_option.mp3
pastime,"trò tiêu khiển, sự giải trí",4000B4_pastime.mp3
perfect,"hoàn hảo, hoàn toàn",4000B4_perfect.mp3
pinpoint,định vị (cái gì) chính xác,4000B4_pinpoint.mp3
switch,"chuyển (câu chuyện, ý nghĩ...), công tắc, chuyển mạch",4000B4_switch.mp3
thorough,"cẩn thận, kỹ lưỡng, tỉ mỉ, hoàn hảo",4000B4_thorough.mp3
torment,"làm đau khổ, giày vò",4000B4_torment.mp3
beak,mỏ (chim),4000B4_beak.mp3
damp,"ẩm, ẩm thấp",4000B4_damp.mp3
disapprove,"không tán thành, phản đối; chê",4000B4_disapprove.mp3
except,"trừ ra, ngoại trừ",4000B4_except.mp3
flight,chuyến bay,4000B4_flight.mp3
fond,"yêu mến quá đỗi, yêu dấu; trìu mến",4000B4_fond.mp3
immoral,"xấu xa, đồi bại",4000B4_immoral.mp3
ivy,dây thường xuân,4000B4_ivy.mp3
moan,"rên rỉ, than van",4000B4_moan.mp3
oblivious,"không nhớ tới, không chú ý đến, lãng quên",4000B4_oblivious.mp3
perish,"chết; bỏ mạng,diệt vong",4000B4_perish.mp3
