Word,Meaning,Audio
anxious,"lo âu, băn khoăn",4000B2_anxious.mp3
awful,"xấu xa, tồi tệ",4000B2_awful.mp3
consist,gồm có,4000B2_consist.mp3
desire,"thèm muốn, ao ước",4000B2_desire.mp3
eager,"háo hức, hăm hở",4000B2_eager.mp3
household,gia đình,4000B2_household.mp3
intent,"ý định, mục đích",4000B2_intent.mp3
landscape,phong cảnh,4000B2_landscape.mp3
lift,"nâng, nhấc",4000B2_lift.mp3
load,"bốc hàng, chất tải, chở, nạp",4000B2_load.mp3
lung,phổi,4000B2_lung.mp3
motion,sự chuyển động,4000B2_motion.mp3
pace,"tốc độ đi, tốc độ chạy",4000B2_pace.mp3
polite,"lịch sự, lịch thiệp, lễ độ",4000B2_polite.mp3
possess,"chiếm hữu, có, sở hữu",4000B2_possess.mp3
rapidly,"nhanh chóng, mau lẹ",4000B2_rapidly.mp3
remark,"nhận xét, chú ý, lưu ý",4000B2_remark.mp3
seek,"đi tìm, tìm kiếm, tìm",4000B2_seek.mp3
shine,"toả sáng, chiếu sáng",4000B2_shine.mp3
spill,"đổ, trút, làm đổ",4000B2_spill.mp3
bring,"cầm lại, đem lại, mang lại",4000B2_bring.mp3
castle,lâu đài,4000B2_castle.mp3
command,"ra lệnh, mệnh lệnh",4000B2_command.mp3
counsel,"khuyên răn, khuyên bảo, chỉ bảo",4000B2_counsel.mp3
ensure,"bảo đảm, chắc chắn",4000B2_ensure.mp3
explosion,"sự nổ, tiếng nổ",4000B2_explosion.mp3
jewelry,"đồ châu báu; đồ nữ trang, đồ kim hoàn, đồ trang sức",4000B2_jewelry.mp3
land,"hạ cánh (từ máy bay), lên bờ (từ tàu thủy)",4000B2_land.mp3
meteor,"sao sa, sao băng",4000B2_meteor.mp3
monster,"quái vật, yêu quái",4000B2_monster.mp3
northern,"hướng bắc, phương bắc",4000B2_northern.mp3
remote,"xa, xa xôi, xa xăm, hẻo lánh",4000B2_remote.mp3
southern,"hướng Nam, phương Nam",4000B2_southern.mp3
statue,bức tượng,4000B2_statue.mp3
steam,hơi nước,4000B2_steam.mp3
submit,"chịu, cam chịu, quy phục, đệ trình",4000B2_submit.mp3
temple,"đền thờ, miếu, thánh thất, thánh đường",4000B2_temple.mp3
upper,"trên, cao, thượng",4000B2_upper.mp3
weed,cỏ dại,4000B2_weed.mp3
wing,"cánh (chim, sâu bọ)",4000B2_wing.mp3
arrow,mũi tên,4000B2_arrow.mp3
battle,trận đánh; cuộc chiến đấu,4000B2_battle.mp3
bow,cái cung (bắn tên),4000B2_bow.mp3
brave,"gan dạ, can đảm, dũng cảm",4000B2_brave.mp3
chief,"thủ lĩnh, lãnh tụ,người đứng đầu; trưởng",4000B2_chief.mp3
disadvantage,"sự bất lợi; thế bất lợi,sự thiệt hại, mối tổn thất",4000B2_disadvantage.mp3
enemy,"kẻ thù, kẻ địch",4000B2_enemy.mp3
entrance,"sự đi vào, lối vào",4000B2_entrance.mp3
hardly,"khó khăn, chật vật",4000B2_hardly.mp3
intend,"định, có ý định, có ý muốn",4000B2_intend.mp3
laughter,"sự cười, tiếng cười to",4000B2_laughter.mp3
log,khúc gỗ,4000B2_log.mp3
military,"quân đội,(thuộc) quân đội",4000B2_military.mp3
obey,"vâng lời, nghe lời, tuân theo, tuân lệnh",4000B2_obey.mp3
secure,"chiếm được, tìm được, đạt được",4000B2_secure.mp3
steady,"vững vàng, bình tĩnh, điềm tĩnh, vững chắc",4000B2_steady.mp3
trust,"tin, tin cậy, tín nhiệm; trông cậy",4000B2_trust.mp3
twist,"xoắn, vặn, xe, bện, kết",4000B2_twist.mp3
unless,"trừ khi, nếu không",4000B2_unless.mp3
weapon,vũ khí,4000B2_weapon.mp3
chest,ngực,4000B2_chest.mp3
confidence,"sự tin chắc, sự quả quyết, sự tự tin",4000B2_confidence.mp3
consequence,"hậu quả, hệ quả, kết quả, tầm quan trọng",4000B2_consequence.mp3
disaster,"tai hoạ, thảm hoạ",4000B2_disaster.mp3
disturb,"quấy rầy, làm phiền",4000B2_disturb.mp3
estimate,đánh giá; ước lượng,4000B2_estimate.mp3
honor,"tôn kính, kính trọng",4000B2_honor.mp3
impress,"gây ấn tượng; làm cảm động, làm cảm kích",4000B2_impress.mp3
marathon,cuộc chạy đua maratông,4000B2_marathon.mp3
narrow,"hẹp, chật hẹp, eo hẹp",4000B2_narrow.mp3
pale,"tái, nhợt nhạt, xanh xám",4000B2_pale.mp3
rough,"ráp, nhám, xù xì, gồ ghề,dữ dội, mạnh, hung dữ",4000B2_rough.mp3
satisfy,"làm thoả mãn, làm vừa lòng, đáp ứng",4000B2_satisfy.mp3
scream,"hét lên, kêu thất thanh; kêu inh ỏi, rít lên (còi tàu...)",4000B2_scream.mp3
sensitive,nhạy cảm,4000B2_sensitive.mp3
shade,"bóng, bóng tối, bóng râm",4000B2_shade.mp3
supplement,"bổ sung, phụ thêm vào",4000B2_supplement.mp3
terror,"sự kinh hãi, sự khiếp sợ",4000B2_terror.mp3
threat,"sự đe doạ, lời hăm dọa",4000B2_threat.mp3
victim,nạn nhân,4000B2_victim.mp3
ancestor,"ông bà, tổ tiên",4000B2_ancestor.mp3
angle,"góc,quan điểm, khía cạnh",4000B2_angle.mp3
boot,giày ống (bốt),4000B2_boot.mp3
border,"bờ, mép, vỉa, lề, biên giới, ranh giới",4000B2_border.mp3
congratulate,"chúc mừng, khen ngợi",4000B2_congratulate.mp3
frame,"khung (ảnh, cửa, xe...), sườn (tàu, nhà...)",4000B2_frame.mp3
heaven,thiên đường,4000B2_heaven.mp3
incredible,"không thể tin được, lạ thường",4000B2_incredible.mp3
legend,"truyện cổ tích, truyền thuyết, huyền thoại",4000B2_legend.mp3
praise,khen ngợi,4000B2_praise.mp3
proceed,"đi đến,làm, hành động",4000B2_proceed.mp3
pure,"trong sạch, nguyên chất, tinh khiết",4000B2_pure.mp3
relative,"bà con thân thuộc,họ hàng",4000B2_relative.mp3
senior,"nhiều tuổi hơn, cao cấp hơn, lâu năm hơn",4000B2_senior.mp3
silent,"yên lặng, yên tĩnh, tĩnh mịch, thanh vắng",4000B2_silent.mp3
sink; sank,chìm,4000B2_sink.mp3
superior,"cao, cao cấp,khá hơn, nhiều hơn,tốt, giỏi",4000B2_superior.mp3
surround,"bao quanh, vây quanh",4000B2_surround.mp3
thick,"dày, dày đặc, rậm, rậm rạp",4000B2_thick.mp3
wrap,"bao phủ, gói, quấn",4000B2_wrap.mp3
abroad,"ở nước ngoài, ra nước ngoài",4000B2_abroad.mp3
anger,"chọc tức, làm tức giận",4000B2_anger.mp3
bride,cô dâu,4000B2_bride.mp3
brief,"ngắn gọn, vắn tắt",4000B2_brief.mp3
chase,"săn, săn đuổi,đuổi, xua đuổi",4000B2_chase.mp3
disappoint,"làm thất vọng,làm hỏng, làm thất bại (kế hoạch của ai)",4000B2_disappoint.mp3
dive,"lặn,nhảy lao đầu xuống (nước...),bổ nhào xuống (máy bay)",4000B2_dive.mp3
exchange,"đổi, đổi chác, trao đổi",4000B2_exchange.mp3
favor,"verb: bênh vực, giúp đỡ, ủng hộnoun:thiện ý; sự quý mến,sự đồng ý, sự giúp đỡ",4000B2_favor.mp3
fee,"tiền thù lao, lệ phí",4000B2_fee.mp3
forever,"mãi mãi, vĩnh viễn",4000B2_forever.mp3
guy,"anh chàng, gã",4000B2_guy.mp3
lovely,"đẹp đẽ, xinh, đáng yêu, dễ thương",4000B2_lovely.mp3
mood,"tâm trạng; tính khí, tâm tính, tính tình",4000B2_mood.mp3
palace,cung điện; lâu đài,4000B2_palace.mp3
permit,"cho phép,giấy phép",4000B2_permit.mp3
protest,"phản đối, kháng nghị, biểu tình",4000B2_protest.mp3
sculpture,"điêu khắc, chạm trổ;công trình điêu khắc",4000B2_sculpture.mp3
tribe,bộ lạc,4000B2_tribe.mp3
youth,"tuổi trẻ, tuổi xuân, tuổi niên thiếu",4000B2_youth.mp3
basis,"phương pháp, nền tảng, cơ sở",4000B2_basis.mp3
biology,"sinh vật học, sinh học",4000B2_biology.mp3
cage,"lồng, chuồng, cũi",4000B2_cage.mp3
colleague,"đồng nghiệp, bạnđồng nghiệp",4000B2_colleague.mp3
colony,"thuộc địa,kiều dân; khu kiều dân",4000B2_colony.mp3
debate,"tranh luận, tranh cãi, bàn cãi (một vấn đề...)",4000B2_debate.mp3
depart,"khởi hành,rời khỏi, ra đi",4000B2_depart.mp3
depress,"làm chán nản, làm buồn",4000B2_depress.mp3
factual,"(thuộc) sự thực, có thật",4000B2_factual.mp3
fascinate,"mê hoặc, quyến rũ",4000B2_fascinate.mp3
mission,"sứ mệnh, nhiệm vụ",4000B2_mission.mp3
nevertheless,"tuy nhiên, tuy thế mà",4000B2_nevertheless.mp3
occupation,"sự chiếm, sự giữ,nghề nghiệp; công việc",4000B2_occupation.mp3
overseas,"ngoài nước, hải ngoại",4000B2_overseas.mp3
persuade,làm cho tin; thuyết phục,4000B2_persuade.mp3
route,"tuyến đường, đường đi",4000B2_route.mp3
ruins,"đổ nát, phế tích",4000B2_ruins.mp3
scholar,"người có học thức, nhà thông thái;người được cấp học bổng,học bổng",4000B2_scholar.mp3
significant,"quan trọng, trọng đại, đáng chú ý",4000B2_significant.mp3
volcano,núi lửa,4000B2_volcano.mp3
broad,"rộng, gồm nhiều loại",4000B2_broad.mp3
bush,"bụi cây, bụi rậm",4000B2_bush.mp3
capable,"có khả năng,có tài, có năng lực giỏi",4000B2_capable.mp3
cheat,"gian lận,lừa, lừa đảo (ai)",4000B2_cheat.mp3
concentrate,tập trung,4000B2_concentrate.mp3
conclude,"kết luận,giải quyết, dàn xếp",4000B2_conclude.mp3
confident,"tự tin, tin chắc, tin tưởng, tin cậy",4000B2_confident.mp3
considerable,"đáng kể, to tát, có vai vế",4000B2_considerable.mp3
convey,"truyền (âm thanh, hương vị, lệnh, tin); truyền đạt, chuyểnchở, chuyên chở, vận chuyển",4000B2_convey.mp3
definite,"rõ ràng,xác định, định rõ, hiển nhiên",4000B2_definite.mp3
delight,"sự vui sướng,điều thích thú",4000B2_delight.mp3
destination,"đích đến,nơi đi tới",4000B2_destination.mp3
dictate,"đọc chính tả,ra lệnh",4000B2_dictate.mp3
edge,"bờ, gờ, cạnh (hố sâu...); rìa, lề (rừng, cuốn sách...)",4000B2_edge.mp3
path,đường đi; quỹ đạo,4000B2_path.mp3
resort,"dùng đến, cầu đến, nhờ vào",4000B2_resort.mp3
shadow,"bóng (của bức tranh..),chỗ tối (trong gian phòng...),bóng tối, bóng râm, bóng mát",4000B2_shadow.mp3
succeed,"thành công,kế nghiệp,kế tiếp",4000B2_succeed.mp3
suspect,"nghi ngờ, hoài nghi;người khả nghi",4000B2_suspect.mp3
valley,"thung lũng,(kiến trúc) khe mái",4000B2_valley.mp3
admire,"khâm phục,ngưỡng mộ",4000B2_admire.mp3
aid,"trợ giúp, thêm vào, phụ vào",4000B2_aid.mp3
attempt,"cố gắng; thử,gắng, chiếm lấy",4000B2_attempt.mp3
authority,"uy quyền, quyền lực, quyền thế(số nhiều) nhà cầm quyền, nhà chức trách",4000B2_authority.mp3
capital,"thủ đô, thủ phủ",4000B2_capital.mp3
cooperate,hợp tác,4000B2_cooperate.mp3
defend,"che chở, bảo vệ, phòng thủ, tự vệ",4000B2_defend.mp3
destruction,"sự phá huỷ,tình trạng bị tàn phá",4000B2_destruction.mp3
disorder,"sự mất trật tự, sự bừa bãi, sự lộn xộn",4000B2_disorder.mp3
division,sự chia; sự phân chia,4000B2_division.mp3
enable,làm cho có thể,4000B2_enable.mp3
frustrate,"làm thất bại, làm hỏng,làm thất vọng, làm vỡ mộng",4000B2_frustrate.mp3
